Category,Bounding Box,Box + Center,Multi-Points 10,Multi-Points 5,Multi-Points 3,Corners + Center,Center Point
Ship,0.4389,0.591,0.0695,0.069,0.0578,0.07,0.0553
Storage Tank,0.4145,0.4954,0.1531,0.1182,0.1044,0.0511,0.09
Baseball Diamond,0.3444,0.419,0.0935,0.1049,0.0959,0.0635,0.1135
Tennis Court,0.4367,0.4503,0.066,0.0762,0.0759,0.0381,0.1183
Basketball Court,0.3726,0.3878,0.2762,0.1022,0.1654,0.1889,0.1078
Ground Track Field,0.3968,0.4446,0.1054,0.1059,0.1326,0.1,0.0961
Bridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Large Vehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Small Vehicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Helicopter,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Swimming Pool,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roundabout,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Soccer Ball Field,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plane,0.5595,0.5331,0.0391,0.0282,0.0196,0.0235,0.1615
Harbor,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEAN,0.4215,0.4828,0.1004,0.0854,0.0866,0.0684,0.103
